,Movie,Genre,Duration,Year,Imdb_rating,Metascore_rating,Votes
2419,Mulholland Dr.,"Drama, Mystery, Thriller  ",147,2001,79,85,329363
2420,Pearl Harbor,"Action, Drama, History  ",183,2001,62,44,315696
2421,The Mummy Returns,"Action, Adventure, Fantasy  ",130,2001,64,48,305440
2422,Jurassic Park III,"Action, Adventure, Sci-Fi  ",92,2001,59,42,300076
2423,A.I. Artificial Intelligence,"Drama, Sci-Fi  ",146,2001,72,65,294057
2424,The Royal Tenenbaums,"Comedy, Drama  ",110,2001,76,76,272078
2425,Moulin Rouge!,"Drama, Musical, Romance  ",127,2001,76,66,270436
2426,Hannibal,"Crime, Drama, Thriller  ",131,2001,68,57,259610
2427,Vanilla Sky,"Fantasy, Mystery, Romance  ",136,2001,69,45,252537
2428,Zoolander,Comedy  ,90,2001,65,61,249978
2429,Enemy at the Gates,"Drama, History, War  ",131,2001,76,53,247628
2430,Blow,"Biography, Crime, Drama  ",124,2001,76,52,244656
2431,American Pie 2,Comedy  ,108,2001,64,43,243469
2432,Bridget Jones's Diary,"Comedy, Drama, Romance  ",97,2001,67,66,230659
2433,Planet of the Apes,"Action, Adventure, Sci-Fi  ",119,2001,57,50,212312
2434,Rush Hour 2,"Action, Comedy, Crime  ",90,2001,66,48,203528
2435,Lara Croft: Tomb Raider,"Action, Adventure, Fantasy  ",100,2001,58,33,200285
2436,Legally Blonde,"Comedy, Romance  ",96,2001,63,59,192514
2437,Swordfish,"Action, Crime, Thriller  ",99,2001,65,32,178206
2438,K-PAX,"Drama, Mystery, Sci-Fi  ",120,2001,74,49,176758
2439,A Knight's Tale,"Action, Adventure, Romance  ",132,2001,69,56,175094
2440,Scary Movie 2,Comedy  ,83,2001,53,29,151761
2441,Jay and Silent Bob Strike Back,Comedy  ,104,2001,68,51,149757
2442,From Hell,"Horror, Mystery, Thriller  ",122,2001,68,54,148791
2443,Spy Game,"Action, Crime, Thriller  ",126,2001,71,63,148350
2444,I Am Sam,Drama  ,132,2001,76,28,144608
2445,The Princess Diaries,"Comedy, Family, Romance  ",111,2001,64,52,131740
2446,Shallow Hal,"Comedy, Drama, Fantasy  ",114,2001,59,48,128954
2447,The Score,"Action, Crime, Drama  ",124,2001,68,71,123163
2448,Evolution,"Comedy, Sci-Fi  ",101,2001,61,40,121175
2449,Y Tu Mamá También,Drama  ,106,2001,76,88,117577
2450,Ghost World,"Comedy, Drama  ",111,2001,73,88,114511
2451,The Lord of the Rings: The Fellowship of the Ring,"Action, Adventure, Drama  ",178,2001,88,92,1698225
2452,A Beautiful Mind,"Biography, Drama  ",135,2001,82,72,866916
2453,"Monsters, Inc.","Animation, Adventure, Comedy  ",92,2001,81,79,832848
2454,Donnie Darko,"Drama, Mystery, Sci-Fi  ",113,2001,80,88,751945
2455,Amélie,"Comedy, Romance  ",122,2001,83,69,715011
2456,Harry Potter and the Sorcerer's Stone,"Adventure, Family, Fantasy  ",152,2001,76,64,678253
2457,Spirited Away,"Animation, Adventure, Family  ",125,2001,86,96,673896
2458,Shrek,"Animation, Adventure, Comedy  ",90,2001,79,84,626799
2459,Ocean's Eleven,"Crime, Thriller  ",116,2001,77,74,527731
2460,Training Day,"Crime, Drama, Thriller  ",122,2001,77,69,401198
2461,Black Hawk Down,"Drama, History, War  ",144,2001,77,74,370480
2462,The Fast and the Furious,"Action, Crime, Thriller  ",106,2001,68,58,356397
2463,The Others,"Horror, Mystery, Thriller  ",104,2001,76,74,344230
2464,Mulholland Dr.,"Drama, Mystery, Thriller  ",147,2001,79,85,329363
2465,Pearl Harbor,"Action, Drama, History  ",183,2001,62,44,315696
2466,The Mummy Returns,"Action, Adventure, Fantasy  ",130,2001,64,48,305440
2467,Jurassic Park III,"Action, Adventure, Sci-Fi  ",92,2001,59,42,300076
2468,A.I. Artificial Intelligence,"Drama, Sci-Fi  ",146,2001,72,65,294057
2469,The Royal Tenenbaums,"Comedy, Drama  ",110,2001,76,76,272078
2470,Moulin Rouge!,"Drama, Musical, Romance  ",127,2001,76,66,270436
2471,Hannibal,"Crime, Drama, Thriller  ",131,2001,68,57,259610
2472,Vanilla Sky,"Fantasy, Mystery, Romance  ",136,2001,69,45,252537
2473,Zoolander,Comedy  ,90,2001,65,61,249978
2474,Enemy at the Gates,"Drama, History, War  ",131,2001,76,53,247628
2475,Blow,"Biography, Crime, Drama  ",124,2001,76,52,244656
2476,American Pie 2,Comedy  ,108,2001,64,43,243469
2477,Bridget Jones's Diary,"Comedy, Drama, Romance  ",97,2001,67,66,230659
2478,Planet of the Apes,"Action, Adventure, Sci-Fi  ",119,2001,57,50,212312
2479,Rush Hour 2,"Action, Comedy, Crime  ",90,2001,66,48,203528
2480,Lara Croft: Tomb Raider,"Action, Adventure, Fantasy  ",100,2001,58,33,200285
2481,Legally Blonde,"Comedy, Romance  ",96,2001,63,59,192514
2482,Swordfish,"Action, Crime, Thriller  ",99,2001,65,32,178206
2483,K-PAX,"Drama, Mystery, Sci-Fi  ",120,2001,74,49,176758
2484,A Knight's Tale,"Action, Adventure, Romance  ",132,2001,69,56,175094
2485,Scary Movie 2,Comedy  ,83,2001,53,29,151761
2486,Jay and Silent Bob Strike Back,Comedy  ,104,2001,68,51,149757
2487,From Hell,"Horror, Mystery, Thriller  ",122,2001,68,54,148791
2488,Spy Game,"Action, Crime, Thriller  ",126,2001,71,63,148350
2489,I Am Sam,Drama  ,132,2001,76,28,144608
2490,The Princess Diaries,"Comedy, Family, Romance  ",111,2001,64,52,131740
2491,Shallow Hal,"Comedy, Drama, Fantasy  ",114,2001,59,48,128954
2492,The Score,"Action, Crime, Drama  ",124,2001,68,71,123163
2493,Evolution,"Comedy, Sci-Fi  ",101,2001,61,40,121175
2494,Y Tu Mamá También,Drama  ,106,2001,76,88,117577
2495,Ghost World,"Comedy, Drama  ",111,2001,73,88,114511
2496,The Lord of the Rings: The Fellowship of the Ring,"Action, Adventure, Drama  ",178,2001,88,92,1698225
2497,A Beautiful Mind,"Biography, Drama  ",135,2001,82,72,866916
2498,"Monsters, Inc.","Animation, Adventure, Comedy  ",92,2001,81,79,832848
2499,Donnie Darko,"Drama, Mystery, Sci-Fi  ",113,2001,80,88,751945
2500,Amélie,"Comedy, Romance  ",122,2001,83,69,715011
2501,Harry Potter and the Sorcerer's Stone,"Adventure, Family, Fantasy  ",152,2001,76,64,678253
2502,Spirited Away,"Animation, Adventure, Family  ",125,2001,86,96,673896
2503,Shrek,"Animation, Adventure, Comedy  ",90,2001,79,84,626799
2504,Ocean's Eleven,"Crime, Thriller  ",116,2001,77,74,527731
2505,Training Day,"Crime, Drama, Thriller  ",122,2001,77,69,401198
2506,Black Hawk Down,"Drama, History, War  ",144,2001,77,74,370480
2507,The Fast and the Furious,"Action, Crime, Thriller  ",106,2001,68,58,356397
2508,The Others,"Horror, Mystery, Thriller  ",104,2001,76,74,344230
2509,Mulholland Dr.,"Drama, Mystery, Thriller  ",147,2001,79,85,329363
2510,Pearl Harbor,"Action, Drama, History  ",183,2001,62,44,315696
2511,The Mummy Returns,"Action, Adventure, Fantasy  ",130,2001,64,48,305440
2512,Jurassic Park III,"Action, Adventure, Sci-Fi  ",92,2001,59,42,300076
2513,A.I. Artificial Intelligence,"Drama, Sci-Fi  ",146,2001,72,65,294057
2514,The Royal Tenenbaums,"Comedy, Drama  ",110,2001,76,76,272078
2515,Moulin Rouge!,"Drama, Musical, Romance  ",127,2001,76,66,270436
2516,Hannibal,"Crime, Drama, Thriller  ",131,2001,68,57,259610
2517,Vanilla Sky,"Fantasy, Mystery, Romance  ",136,2001,69,45,252537
2518,Zoolander,Comedy  ,90,2001,65,61,249978
2519,Enemy at the Gates,"Drama, History, War  ",131,2001,76,53,247628
2520,Blow,"Biography, Crime, Drama  ",124,2001,76,52,244656
2521,American Pie 2,Comedy  ,108,2001,64,43,243469
2522,Bridget Jones's Diary,"Comedy, Drama, Romance  ",97,2001,67,66,230659
2523,Planet of the Apes,"Action, Adventure, Sci-Fi  ",119,2001,57,50,212312
2524,Rush Hour 2,"Action, Comedy, Crime  ",90,2001,66,48,203528
2525,Lara Croft: Tomb Raider,"Action, Adventure, Fantasy  ",100,2001,58,33,200285
2526,Legally Blonde,"Comedy, Romance  ",96,2001,63,59,192514
2527,Swordfish,"Action, Crime, Thriller  ",99,2001,65,32,178206
2528,K-PAX,"Drama, Mystery, Sci-Fi  ",120,2001,74,49,176758
2529,A Knight's Tale,"Action, Adventure, Romance  ",132,2001,69,56,175094
2530,Scary Movie 2,Comedy  ,83,2001,53,29,151761
2531,Jay and Silent Bob Strike Back,Comedy  ,104,2001,68,51,149757
2532,From Hell,"Horror, Mystery, Thriller  ",122,2001,68,54,148791
2533,Spy Game,"Action, Crime, Thriller  ",126,2001,71,63,148350
2534,I Am Sam,Drama  ,132,2001,76,28,144608
2535,The Princess Diaries,"Comedy, Family, Romance  ",111,2001,64,52,131740
2536,Shallow Hal,"Comedy, Drama, Fantasy  ",114,2001,59,48,128954
2537,The Score,"Action, Crime, Drama  ",124,2001,68,71,123163
2538,Evolution,"Comedy, Sci-Fi  ",101,2001,61,40,121175
2539,Y Tu Mamá También,Drama  ,106,2001,76,88,117577
2540,Ghost World,"Comedy, Drama  ",111,2001,73,88,114511
2541,The Lord of the Rings: The Two Towers,"Action, Adventure, Drama  ",179,2002,87,87,1516674
2542,Catch Me If You Can,"Biography, Crime, Drama  ",141,2002,81,75,860023
2543,The Pianist,"Biography, Drama, Music  ",150,2002,85,85,751698
2544,City of God,"Crime, Drama  ",130,2002,86,79,710972
2545,Spider-Man,"Action, Adventure, Sci-Fi  ",121,2002,73,73,701755
2546,Star Wars: Episode II - Attack of the Clones,"Action, Adventure, Fantasy  ",142,2002,65,54,655086
2547,Harry Potter and the Chamber of Secrets,"Adventure, Family, Fantasy  ",161,2002,74,63,568356
2548,Minority Report,"Action, Crime, Mystery  ",145,2002,76,80,516927
2549,The Bourne Identity,"Action, Mystery, Thriller  ",119,2002,79,68,516703
2550,Ice Age,"Animation, Adventure, Comedy  ",81,2002,75,60,450192
2551,Gangs of New York,"Crime, Drama  ",167,2002,75,72,413887
2552,28 Days Later...,"Drama, Horror, Sci-Fi  ",113,2002,76,73,383783
2553,Men in Black II,"Action, Adventure, Comedy  ",88,2002,62,49,349189
2554,Signs,"Drama, Mystery, Sci-Fi  ",106,2002,67,59,342108
2555,The Ring,"Horror, Mystery  ",115,2002,71,57,326434
2556,Equilibrium,"Action, Drama, Sci-Fi  ",107,2002,74,33,314854
2557,The Transporter,"Action, Crime, Thriller  ",92,2002,68,51,288706
2558,Insomnia,"Drama, Mystery, Thriller  ",118,2002,72,78,280033
2559,Panic Room,"Crime, Drama, Thriller  ",112,2002,68,65,264355
2560,Red Dragon,"Crime, Drama, Thriller  ",124,2002,72,60,257913
2561,8 Mile,"Drama, Music  ",110,2002,71,77,256357
2562,Phone Booth,"Crime, Thriller  ",81,2002,70,56,254183
2563,Resident Evil,"Action, Horror, Sci-Fi  ",100,2002,67,33,252523
2564,Road to Perdition,"Crime, Drama, Thriller  ",117,2002,77,72,251364
2565,Chicago,"Comedy, Crime, Musical  ",113,2002,72,81,219162
2566,Die Another Day,"Action, Adventure, Thriller  ",133,2002,61,56,207954
2567,Blade II,"Action, Fantasy, Horror  ",117,2002,67,52,203524
2568,A Walk to Remember,"Drama, Romance  ",101,2002,73,35,202104
2569,Austin Powers in Goldmember,"Action, Adventure, Comedy  ",94,2002,62,62,198504
2570,Adaptation.,"Comedy, Drama  ",115,2002,77,83,181561
2571,Hero,"Action, Adventure, History  ",120,2002,79,85,175566
2572,About a Boy,"Comedy, Drama, Romance  ",101,2002,71,75,175226
2573,xXx,"Action, Adventure, Thriller  ",124,2002,59,48,174643
2574,Lilo & Stitch,"Animation, Adventure, Comedy  ",92,2002,72,73,173003
2575,25th Hour,Drama  ,135,2002,76,68,171515
2576,Punch-Drunk Love,"Comedy, Drama, Romance  ",95,2002,73,78,150805
2577,Bowling for Columbine,"Documentary, Crime, Drama  ",120,2002,79,72,140643
2578,Mr. Deeds,"Comedy, Romance  ",96,2002,58,24,138067
2579,We Were Soldiers,"Action, Drama, History  ",140,2002,72,65,132804
2580,The Scorpion King,"Action, Adventure, Fantasy  ",92,2002,55,45,132146
2581,The Count of Monte Cristo,"Action, Adventure, Drama  ",131,2002,77,61,131081
2582,Reign of Fire,"Action, Adventure, Fantasy  ",101,2002,62,39,128529
2583,John Q,"Crime, Drama, Thriller  ",116,2002,71,30,126451
2584,The Hours,"Drama, Romance  ",110,2002,75,80,126325
2585,About Schmidt,"Comedy, Drama  ",125,2002,71,85,123762
2586,Irreversible,"Crime, Drama, Mystery  ",97,2002,74,51,123592
2587,My Big Fat Greek Wedding,"Comedy, Drama, Romance  ",95,2002,66,62,121776
2588,The Time Machine,"Action, Adventure, Sci-Fi  ",96,2002,60,42,119835
2589,The Lord of the Rings: The Two Towers,"Action, Adventure, Drama  ",179,2002,87,87,1516674
2590,Catch Me If You Can,"Biography, Crime, Drama  ",141,2002,81,75,860023
2591,The Pianist,"Biography, Drama, Music  ",150,2002,85,85,751698
2592,City of God,"Crime, Drama  ",130,2002,86,79,710972
2593,Spider-Man,"Action, Adventure, Sci-Fi  ",121,2002,73,73,701755
2594,Star Wars: Episode II - Attack of the Clones,"Action, Adventure, Fantasy  ",142,2002,65,54,655086
2595,Harry Potter and the Chamber of Secrets,"Adventure, Family, Fantasy  ",161,2002,74,63,568356
2596,Minority Report,"Action, Crime, Mystery  ",145,2002,76,80,516927
2597,The Bourne Identity,"Action, Mystery, Thriller  ",119,2002,79,68,516703
2598,Ice Age,"Animation, Adventure, Comedy  ",81,2002,75,60,450192
2599,Gangs of New York,"Crime, Drama  ",167,2002,75,72,413887
2600,28 Days Later...,"Drama, Horror, Sci-Fi  ",113,2002,76,73,383783
2601,Men in Black II,"Action, Adventure, Comedy  ",88,2002,62,49,349189
2602,Signs,"Drama, Mystery, Sci-Fi  ",106,2002,67,59,342108
2603,The Ring,"Horror, Mystery  ",115,2002,71,57,326434
2604,Equilibrium,"Action, Drama, Sci-Fi  ",107,2002,74,33,314854
2605,The Transporter,"Action, Crime, Thriller  ",92,2002,68,51,288706
2606,Insomnia,"Drama, Mystery, Thriller  ",118,2002,72,78,280033
2607,Panic Room,"Crime, Drama, Thriller  ",112,2002,68,65,264355
2608,Red Dragon,"Crime, Drama, Thriller  ",124,2002,72,60,257913
2609,8 Mile,"Drama, Music  ",110,2002,71,77,256357
2610,Phone Booth,"Crime, Thriller  ",81,2002,70,56,254183
2611,Resident Evil,"Action, Horror, Sci-Fi  ",100,2002,67,33,252523
2612,Road to Perdition,"Crime, Drama, Thriller  ",117,2002,77,72,251364
2613,Chicago,"Comedy, Crime, Musical  ",113,2002,72,81,219162
2614,Die Another Day,"Action, Adventure, Thriller  ",133,2002,61,56,207954
2615,Blade II,"Action, Fantasy, Horror  ",117,2002,67,52,203524
2616,A Walk to Remember,"Drama, Romance  ",101,2002,73,35,202104
2617,Austin Powers in Goldmember,"Action, Adventure, Comedy  ",94,2002,62,62,198504
2618,Adaptation.,"Comedy, Drama  ",115,2002,77,83,181561
2619,Hero,"Action, Adventure, History  ",120,2002,79,85,175566
2620,About a Boy,"Comedy, Drama, Romance  ",101,2002,71,75,175226
2621,xXx,"Action, Adventure, Thriller  ",124,2002,59,48,174643
2622,Lilo & Stitch,"Animation, Adventure, Comedy  ",92,2002,72,73,173003
2623,25th Hour,Drama  ,135,2002,76,68,171515
2624,Punch-Drunk Love,"Comedy, Drama, Romance  ",95,2002,73,78,150805
2625,Bowling for Columbine,"Documentary, Crime, Drama  ",120,2002,79,72,140643
2626,Mr. Deeds,"Comedy, Romance  ",96,2002,58,24,138067
2627,We Were Soldiers,"Action, Drama, History  ",140,2002,72,65,132804
2628,The Scorpion King,"Action, Adventure, Fantasy  ",92,2002,55,45,132146
2629,The Count of Monte Cristo,"Action, Adventure, Drama  ",131,2002,77,61,131081
2630,Reign of Fire,"Action, Adventure, Fantasy  ",101,2002,62,39,128529
2631,John Q,"Crime, Drama, Thriller  ",116,2002,71,30,126451
2632,The Hours,"Drama, Romance  ",110,2002,75,80,126325
2633,About Schmidt,"Comedy, Drama  ",125,2002,71,85,123762
2634,Irreversible,"Crime, Drama, Mystery  ",97,2002,74,51,123592
2635,My Big Fat Greek Wedding,"Comedy, Drama, Romance  ",95,2002,66,62,121776
2636,The Time Machine,"Action, Adventure, Sci-Fi  ",96,2002,60,42,119835
2637,The Lord of the Rings: The Two Towers,"Action, Adventure, Drama  ",179,2002,87,87,1516674
2638,Catch Me If You Can,"Biography, Crime, Drama  ",141,2002,81,75,860023
2639,The Pianist,"Biography, Drama, Music  ",150,2002,85,85,751698
2640,City of God,"Crime, Drama  ",130,2002,86,79,710972
2641,Spider-Man,"Action, Adventure, Sci-Fi  ",121,2002,73,73,701755
2642,Star Wars: Episode II - Attack of the Clones,"Action, Adventure, Fantasy  ",142,2002,65,54,655086
2643,Harry Potter and the Chamber of Secrets,"Adventure, Family, Fantasy  ",161,2002,74,63,568356
2644,Minority Report,"Action, Crime, Mystery  ",145,2002,76,80,516927
2645,The Bourne Identity,"Action, Mystery, Thriller  ",119,2002,79,68,516703
2646,Ice Age,"Animation, Adventure, Comedy  ",81,2002,75,60,450192
2647,Gangs of New York,"Crime, Drama  ",167,2002,75,72,413887
2648,28 Days Later...,"Drama, Horror, Sci-Fi  ",113,2002,76,73,383783
2649,Men in Black II,"Action, Adventure, Comedy  ",88,2002,62,49,349189
2650,Signs,"Drama, Mystery, Sci-Fi  ",106,2002,67,59,342108
2651,The Ring,"Horror, Mystery  ",115,2002,71,57,326434
2652,Equilibrium,"Action, Drama, Sci-Fi  ",107,2002,74,33,314854
2653,The Transporter,"Action, Crime, Thriller  ",92,2002,68,51,288706
2654,Insomnia,"Drama, Mystery, Thriller  ",118,2002,72,78,280033
2655,Panic Room,"Crime, Drama, Thriller  ",112,2002,68,65,264355
2656,Red Dragon,"Crime, Drama, Thriller  ",124,2002,72,60,257913
2657,8 Mile,"Drama, Music  ",110,2002,71,77,256357
2658,Phone Booth,"Crime, Thriller  ",81,2002,70,56,254183
2659,Resident Evil,"Action, Horror, Sci-Fi  ",100,2002,67,33,252523
2660,Road to Perdition,"Crime, Drama, Thriller  ",117,2002,77,72,251364
2661,Chicago,"Comedy, Crime, Musical  ",113,2002,72,81,219162
2662,Die Another Day,"Action, Adventure, Thriller  ",133,2002,61,56,207954
2663,Blade II,"Action, Fantasy, Horror  ",117,2002,67,52,203524
2664,A Walk to Remember,"Drama, Romance  ",101,2002,73,35,202104
2665,Austin Powers in Goldmember,"Action, Adventure, Comedy  ",94,2002,62,62,198504
2666,Adaptation.,"Comedy, Drama  ",115,2002,77,83,181561
2667,Hero,"Action, Adventure, History  ",120,2002,79,85,175566
2668,About a Boy,"Comedy, Drama, Romance  ",101,2002,71,75,175226
2669,xXx,"Action, Adventure, Thriller  ",124,2002,59,48,174643
2670,Lilo & Stitch,"Animation, Adventure, Comedy  ",92,2002,72,73,173003
2671,25th Hour,Drama  ,135,2002,76,68,171515
2672,Punch-Drunk Love,"Comedy, Drama, Romance  ",95,2002,73,78,150805
2673,Bowling for Columbine,"Documentary, Crime, Drama  ",120,2002,79,72,140643
2674,Mr. Deeds,"Comedy, Romance  ",96,2002,58,24,138067
2675,We Were Soldiers,"Action, Drama, History  ",140,2002,72,65,132804
2676,The Scorpion King,"Action, Adventure, Fantasy  ",92,2002,55,45,132146
2677,The Count of Monte Cristo,"Action, Adventure, Drama  ",131,2002,77,61,131081
2678,Reign of Fire,"Action, Adventure, Fantasy  ",101,2002,62,39,128529
2679,John Q,"Crime, Drama, Thriller  ",116,2002,71,30,126451
2680,The Hours,"Drama, Romance  ",110,2002,75,80,126325
2681,About Schmidt,"Comedy, Drama  ",125,2002,71,85,123762
2682,Irreversible,"Crime, Drama, Mystery  ",97,2002,74,51,123592
2683,My Big Fat Greek Wedding,"Comedy, Drama, Romance  ",95,2002,66,62,121776
2684,The Time Machine,"Action, Adventure, Sci-Fi  ",96,2002,60,42,119835
2685,The Lord of the Rings: The Two Towers,"Action, Adventure, Drama  ",179,2002,87,87,1516674
2686,Catch Me If You Can,"Biography, Crime, Drama  ",141,2002,81,75,860023
2687,The Pianist,"Biography, Drama, Music  ",150,2002,85,85,751698
2688,City of God,"Crime, Drama  ",130,2002,86,79,710972
2689,Spider-Man,"Action, Adventure, Sci-Fi  ",121,2002,73,73,701755
2690,Star Wars: Episode II - Attack of the Clones,"Action, Adventure, Fantasy  ",142,2002,65,54,655086
2691,Harry Potter and the Chamber of Secrets,"Adventure, Family, Fantasy  ",161,2002,74,63,568356
2692,Minority Report,"Action, Crime, Mystery  ",145,2002,76,80,516927
2693,The Bourne Identity,"Action, Mystery, Thriller  ",119,2002,79,68,516703
2694,Ice Age,"Animation, Adventure, Comedy  ",81,2002,75,60,450192
2695,Gangs of New York,"Crime, Drama  ",167,2002,75,72,413887
2696,28 Days Later...,"Drama, Horror, Sci-Fi  ",113,2002,76,73,383783
2697,Men in Black II,"Action, Adventure, Comedy  ",88,2002,62,49,349189
2698,Signs,"Drama, Mystery, Sci-Fi  ",106,2002,67,59,342108
2699,The Ring,"Horror, Mystery  ",115,2002,71,57,326434
2700,Equilibrium,"Action, Drama, Sci-Fi  ",107,2002,74,33,314854
2701,The Transporter,"Action, Crime, Thriller  ",92,2002,68,51,288706
2702,Insomnia,"Drama, Mystery, Thriller  ",118,2002,72,78,280033
2703,Panic Room,"Crime, Drama, Thriller  ",112,2002,68,65,264355
2704,Red Dragon,"Crime, Drama, Thriller  ",124,2002,72,60,257913
2705,8 Mile,"Drama, Music  ",110,2002,71,77,256357
2706,Phone Booth,"Crime, Thriller  ",81,2002,70,56,254183
2707,Resident Evil,"Action, Horror, Sci-Fi  ",100,2002,67,33,252523
2708,Road to Perdition,"Crime, Drama, Thriller  ",117,2002,77,72,251364
2709,Chicago,"Comedy, Crime, Musical  ",113,2002,72,81,219162
2710,Die Another Day,"Action, Adventure, Thriller  ",133,2002,61,56,207954
2711,Blade II,"Action, Fantasy, Horror  ",117,2002,67,52,203524
2712,A Walk to Remember,"Drama, Romance  ",101,2002,73,35,202104
2713,Austin Powers in Goldmember,"Action, Adventure, Comedy  ",94,2002,62,62,198504
2714,Adaptation.,"Comedy, Drama  ",115,2002,77,83,181561
2715,Hero,"Action, Adventure, History  ",120,2002,79,85,175566
2716,About a Boy,"Comedy, Drama, Romance  ",101,2002,71,75,175226
2717,xXx,"Action, Adventure, Thriller  ",124,2002,59,48,174643
2718,Lilo & Stitch,"Animation, Adventure, Comedy  ",92,2002,72,73,173003
2719,25th Hour,Drama  ,135,2002,76,68,171515
2720,Punch-Drunk Love,"Comedy, Drama, Romance  ",95,2002,73,78,150805
2721,Bowling for Columbine,"Documentary, Crime, Drama  ",120,2002,79,72,140643
2722,Mr. Deeds,"Comedy, Romance  ",96,2002,58,24,138067
2723,We Were Soldiers,"Action, Drama, History  ",140,2002,72,65,132804
2724,The Scorpion King,"Action, Adventure, Fantasy  ",92,2002,55,45,132146
2725,The Count of Monte Cristo,"Action, Adventure, Drama  ",131,2002,77,61,131081
2726,Reign of Fire,"Action, Adventure, Fantasy  ",101,2002,62,39,128529
2727,John Q,"Crime, Drama, Thriller  ",116,2002,71,30,126451
2728,The Hours,"Drama, Romance  ",110,2002,75,80,126325
2729,About Schmidt,"Comedy, Drama  ",125,2002,71,85,123762
2730,Irreversible,"Crime, Drama, Mystery  ",97,2002,74,51,123592
2731,My Big Fat Greek Wedding,"Comedy, Drama, Romance  ",95,2002,66,62,121776
2732,The Time Machine,"Action, Adventure, Sci-Fi  ",96,2002,60,42,119835
2733,The Lord of the Rings: The Two Towers,"Action, Adventure, Drama  ",179,2002,87,87,1516674
2734,Catch Me If You Can,"Biography, Crime, Drama  ",141,2002,81,75,860023
2735,The Pianist,"Biography, Drama, Music  ",150,2002,85,85,751698
2736,City of God,"Crime, Drama  ",130,2002,86,79,710972
2737,Spider-Man,"Action, Adventure, Sci-Fi  ",121,2002,73,73,701755
2738,Star Wars: Episode II - Attack of the Clones,"Action, Adventure, Fantasy  ",142,2002,65,54,655086
2739,Harry Potter and the Chamber of Secrets,"Adventure, Family, Fantasy  ",161,2002,74,63,568356
2740,Minority Report,"Action, Crime, Mystery  ",145,2002,76,80,516927
2741,The Bourne Identity,"Action, Mystery, Thriller  ",119,2002,79,68,516703
2742,Ice Age,"Animation, Adventure, Comedy  ",81,2002,75,60,450192
2743,Gangs of New York,"Crime, Drama  ",167,2002,75,72,413887
2744,28 Days Later...,"Drama, Horror, Sci-Fi  ",113,2002,76,73,383783
2745,Men in Black II,"Action, Adventure, Comedy  ",88,2002,62,49,349189
2746,Signs,"Drama, Mystery, Sci-Fi  ",106,2002,67,59,342108
2747,The Ring,"Horror, Mystery  ",115,2002,71,57,326434
2748,Equilibrium,"Action, Drama, Sci-Fi  ",107,2002,74,33,314854
2749,The Transporter,"Action, Crime, Thriller  ",92,2002,68,51,288706
2750,Insomnia,"Drama, Mystery, Thriller  ",118,2002,72,78,280033
2751,Panic Room,"Crime, Drama, Thriller  ",112,2002,68,65,264355
2752,Red Dragon,"Crime, Drama, Thriller  ",124,2002,72,60,257913
2753,8 Mile,"Drama, Music  ",110,2002,71,77,256357
2754,Phone Booth,"Crime, Thriller  ",81,2002,70,56,254183
2755,Resident Evil,"Action, Horror, Sci-Fi  ",100,2002,67,33,252523
2756,Road to Perdition,"Crime, Drama, Thriller  ",117,2002,77,72,251364
2757,Chicago,"Comedy, Crime, Musical  ",113,2002,72,81,219162
2758,Die Another Day,"Action, Adventure, Thriller  ",133,2002,61,56,207954
2759,Blade II,"Action, Fantasy, Horror  ",117,2002,67,52,203524
2760,A Walk to Remember,"Drama, Romance  ",101,2002,73,35,202104
2761,Austin Powers in Goldmember,"Action, Adventure, Comedy  ",94,2002,62,62,198504
2762,Adaptation.,"Comedy, Drama  ",115,2002,77,83,181561
2763,Hero,"Action, Adventure, History  ",120,2002,79,85,175566
2764,About a Boy,"Comedy, Drama, Romance  ",101,2002,71,75,175226
2765,xXx,"Action, Adventure, Thriller  ",124,2002,59,48,174643
2766,Lilo & Stitch,"Animation, Adventure, Comedy  ",92,2002,72,73,173003
2767,25th Hour,Drama  ,135,2002,76,68,171515
2768,Punch-Drunk Love,"Comedy, Drama, Romance  ",95,2002,73,78,150805
2769,Bowling for Columbine,"Documentary, Crime, Drama  ",120,2002,79,72,140643
2770,Mr. Deeds,"Comedy, Romance  ",96,2002,58,24,138067
2771,We Were Soldiers,"Action, Drama, History  ",140,2002,72,65,132804
2772,The Scorpion King,"Action, Adventure, Fantasy  ",92,2002,55,45,132146
2773,The Count of Monte Cristo,"Action, Adventure, Drama  ",131,2002,77,61,131081
2774,Reign of Fire,"Action, Adventure, Fantasy  ",101,2002,62,39,128529
2775,John Q,"Crime, Drama, Thriller  ",116,2002,71,30,126451
2776,The Hours,"Drama, Romance  ",110,2002,75,80,126325
2777,About Schmidt,"Comedy, Drama  ",125,2002,71,85,123762
2778,Irreversible,"Crime, Drama, Mystery  ",97,2002,74,51,123592
2779,My Big Fat Greek Wedding,"Comedy, Drama, Romance  ",95,2002,66,62,121776
2780,The Time Machine,"Action, Adventure, Sci-Fi  ",96,2002,60,42,119835
2781,The Lord of the Rings: The Two Towers,"Action, Adventure, Drama  ",179,2002,87,87,1516674
2782,Catch Me If You Can,"Biography, Crime, Drama  ",141,2002,81,75,860023
2783,The Pianist,"Biography, Drama, Music  ",150,2002,85,85,751698
2784,City of God,"Crime, Drama  ",130,2002,86,79,710972
2785,Spider-Man,"Action, Adventure, Sci-Fi  ",121,2002,73,73,701755
