Release Group,Worldwide,Domestic,%,Foreign,%,Year
Alpha,"$98,203,196","$35,857,181",36.5%,"$62,346,015",63.5%,2018
Along With the Gods: The Last 49 Days,"$97,962,238","$1,200,246",1.2%,"$96,761,992",98.8%,2018
A Simple Favor,"$97,644,617","$53,548,586",54.8%,"$44,096,031",45.2%,2018
Boonie Bears 5,"$96,820,519",-,-,"$96,820,519",100%,2018
The Favourite,"$95,918,706","$34,366,783",35.8%,"$61,551,923",64.2%,2018
Truth or Dare,"$95,330,493","$41,411,015",43.4%,"$53,919,478",56.6%,2018
Kill Mobile,"$94,870,905",-,-,"$94,870,905",100%,2018
I Feel Pretty,"$94,539,426","$48,795,601",51.6%,"$45,743,825",48.4%,2018
Blockers,"$94,017,294","$60,311,495",64.1%,"$33,705,799",35.9%,2018
BlacKkKlansman,"$93,400,823","$49,275,340",52.8%,"$44,125,483",47.2%,2018
Goosebumps 2: Haunted Halloween,"$93,320,380","$46,700,633",50%,"$46,619,747",50%,2018
Shadow,"$91,708,374","$521,396",0.6%,"$91,186,978",99.4%,2018
Overboard,"$91,244,913","$50,316,123",55.1%,"$40,928,790",44.9%,2018
Sherlock Gnomes,"$90,497,778","$43,242,871",47.8%,"$47,254,907",52.2%,2018
Detective Dee: The Four Heavenly Kings,"$90,040,771","$262,963",0.3%,"$89,777,808",99.7%,2018
"Hello, Mrs. Money","$86,874,070",-,-,"$86,874,070",100%,2018
Robin Hood,"$86,489,031","$30,824,628",35.6%,"$55,664,403",64.4%,2018
I Can Only Imagine,"$86,086,881","$83,482,352",97%,"$2,604,529",3%,2018
Hidden Man,"$85,170,581",-,-,"$85,170,581",100%,2018
Mortal Engines,"$83,672,673","$15,951,040",19.1%,"$67,721,633",80.9%,2018
Partment: The Movie,"$81,096,321",-,-,"$81,096,321",100%,2018
Doraemon the Movie: Nobita's Treasure Island,"$80,920,916",-,-,"$80,920,916",100%,2018
Den of Thieves,"$80,509,622","$44,947,622",55.8%,"$35,562,000",44.2%,2018
Hereditary,"$80,200,936","$44,069,456",54.9%,"$36,131,480",45.1%,2018
Code Blue: The Movie,"$78,778,562",-,-,"$78,778,562",100%,2018
Tag,"$78,130,625","$54,730,625",70.1%,"$23,400,000",29.9%,2018
Sanju,"$76,693,052","$7,909,317",10.3%,"$68,783,735",89.7%,2018
Vice,"$76,073,488","$47,836,282",62.9%,"$28,237,206",37.1%,2018
Widows,"$75,984,700","$42,402,632",55.8%,"$33,582,068",44.2%,2018
Sicario: Day of the Soldado,"$75,837,743","$50,072,235",66%,"$25,765,508",34%,2018
Searching,"$75,462,037","$26,020,957",34.5%,"$49,441,080",65.5%,2018
The Spy Who Dumped Me,"$75,320,680","$33,562,069",44.6%,"$41,758,611",55.4%,2018
Animal World,"$74,922,830",-,-,"$74,922,830",100%,2018
Amazing China,"$72,506,343",-,-,"$72,506,343",100%,2018
Second Act,"$72,282,227","$39,282,227",54.3%,"$33,000,000",45.7%,2018
Spirited Away 2018 Re-release,"$70,186,029","$1,175,067",1.7%,"$69,010,962",98.3%,2018
Shoplifters,"$67,999,335","$3,313,513",4.9%,"$64,685,822",95.1%,2018
12 Strong,"$67,450,815","$45,819,713",67.9%,"$21,631,102",32.1%,2018
"Love, Simon","$66,316,289","$40,826,341",61.6%,"$25,489,948",38.4%,2018
Mile 22,"$66,308,758","$36,108,758",54.5%,"$30,200,000",45.5%,2018
Life of the Party,"$65,859,911","$53,059,911",80.6%,"$12,800,000",19.4%,2018
L Storm,"$64,517,456",-,-,"$64,517,456",100%,2018
Capernaum,"$64,417,003","$1,661,096",2.6%,"$62,755,907",97.4%,2018
Isle of Dogs,"$64,241,499","$32,015,231",49.8%,"$32,226,268",50.2%,2018
Andhadhun,"$62,475,342","$1,193,046",1.9%,"$61,282,296",98.1%,2018
Adrift,"$59,945,012","$31,445,012",52.5%,"$28,500,000",47.5%,2018
The 15:17 to Paris,"$57,076,286","$36,276,286",63.6%,"$20,800,000",36.4%,2018
A or B,"$56,239,049",-,-,"$56,239,049",100%,2018
Go Brother!,"$54,663,060",-,-,"$54,663,060",100%,2018
Early Man,"$54,622,814","$8,267,544",15.1%,"$46,355,270",84.9%,2018
Peppermint,"$53,918,723","$35,418,723",65.7%,"$18,500,000",34.3%,2018
Teen Titans GO! To the Movies,"$52,090,236","$29,790,236",57.2%,"$22,300,000",42.8%,2018
Slender Man,"$51,738,549","$30,569,484",59.1%,"$21,169,065",40.9%,2018
Breaking In,"$51,411,620","$46,840,590",91.1%,"$4,571,030",8.9%,2018
Cry Me a Sad River,"$51,400,614",-,-,"$51,400,614",100%,2018
Simmba,"$51,329,025","$5,102,129",9.9%,"$46,226,896",90.1%,2018
Once Upon a Deadpool 2018 Re-release,"$51,247,568","$6,100,309",11.9%,"$45,147,259",88.1%,2018
Family is Family,"$49,954,866",-,-,"$49,954,866",100%,2018
Death Wish,"$49,562,710","$34,017,028",68.6%,"$15,545,682",31.4%,2018
The Magic Tuche,"$47,427,990",-,-,"$47,427,990",100%,2018
Golden Job,"$47,287,851","$285,795",0.6%,"$47,002,056",99.4%,2018
Mary Queen of Scots,"$46,712,809","$16,468,499",35.3%,"$30,244,310",64.7%,2018
Uncle Drew,"$46,664,414","$42,469,946",91%,"$4,194,468",9%,2018
Acrimony,"$46,403,669","$43,549,096",93.8%,"$2,854,573",6.2%,2018
Asterix: The Secret of the Magic Potion,"$46,221,204","$1,271,953",2.8%,"$44,949,251",97.2%,2018
Bajrangi Bhaijaan 2018 Re-release,"$45,579,004",-,-,"$45,579,004",100%,2018
Winchester,"$44,019,588","$25,091,816",57%,"$18,927,772",43%,2018
Annihilation,"$43,070,915","$32,732,301",76%,"$10,338,614",24%,2018
The Possession of Hannah Grace,"$43,016,528","$14,837,422",34.5%,"$28,179,106",65.5%,2018
Long Day's Journey Into Night,"$42,140,994","$521,365",1.2%,"$41,619,629",98.8%,2018
Overlord,"$41,657,844","$21,704,844",52.1%,"$19,953,000",47.9%,2018
The Great Battle,"$41,509,280","$472,166",1.1%,"$41,037,114",98.9%,2018
The Darkest Minds,"$41,142,379","$12,695,691",30.9%,"$28,446,688",69.1%,2018
"Lost, Found","$41,043,552",-,-,"$41,043,552",100%,2018
Holmes & Watson,"$40,466,970","$30,573,626",75.6%,"$9,893,344",24.4%,2018
Intimate Strangers,"$39,576,060",-,-,"$39,576,060",100%,2018
Thugs of Hindostan,"$39,570,044","$1,449,848",3.7%,"$38,120,196",96.3%,2018
Sink or Swim,"$39,193,850",-,-,"$39,193,850",100%,2018
Show Dogs,"$39,156,854","$17,857,020",45.6%,"$21,299,834",54.4%,2018
Believer,"$39,047,153","$365,639",0.9%,"$38,681,514",99.1%,2018
The Spy Gone North,"$38,844,509","$500,803",1.3%,"$38,343,706",98.7%,2018
On the Basis of Sex,"$38,673,750","$24,622,687",63.7%,"$14,051,063",36.3%,2018
Taxi 5,"$38,598,227",-,-,"$38,598,227",100%,2018
Fat Buddies,"$37,496,410",-,-,"$37,496,410",100%,2018
Till The End Of The World,"$37,013,733","$118,660",0.3%,"$36,895,073",99.7%,2018
2.0,"$36,945,969","$4,152,000",11.2%,"$32,793,969",88.8%,2018
Nothing to Lose,"$36,075,317","$1,016,188",2.8%,"$35,059,129",97.2%,2018
T-34,"$35,950,901",-,-,"$35,950,901",100%,2018
Mia and the White Lion,"$35,487,190","$399,471",1.1%,"$35,087,719",98.9%,2018
The Girl in the Spider's Web,"$35,164,920","$14,841,338",42.2%,"$20,323,582",57.8%,2018
The Hate U Give,"$34,934,009","$29,719,483",85.1%,"$5,214,526",14.9%,2018
Nobody's Fool,"$33,705,333","$31,713,110",94.1%,"$1,992,223",5.9%,2018
Baaghi 2,"$33,139,063","$1,319,579",4%,"$31,819,484",96%,2018
The Hurricane Heist,"$32,517,248","$6,115,825",18.8%,"$26,401,423",81.2%,2018
All About Me,"$31,920,159",-,-,"$31,920,159",100%,2018
Bad Times at the El Royale,"$31,882,724","$17,839,115",56%,"$14,043,609",44%,2018
Hunter Killer,"$31,672,678","$15,767,460",49.8%,"$15,905,218",50.2%,2018
Super Troopers 2,"$31,626,386","$30,617,396",96.8%,"$1,008,990",3.2%,2018
The Strangers: Prey at Night,"$31,039,126","$24,586,708",79.2%,"$6,452,418",20.8%,2018
Gintama 2: Rules are Made to be Broken,"$30,896,653",-,-,"$30,896,653",100%,2018
The Way of the Bug,"$30,355,804",-,-,"$30,355,804",100%,2018
Clergy,"$30,114,115",-,-,"$30,114,115",100%,2018
Ice,"$29,806,210",-,-,"$29,806,210",100%,2018
Free Solo,"$29,318,861","$17,541,090",59.8%,"$11,777,771",40.2%,2018
Dark Figure of Crime,"$29,176,133",-,-,"$29,176,133",100%,2018
Pad Man,"$29,045,020","$1,670,192",5.8%,"$27,374,828",94.2%,2018
Mirai,"$28,756,961","$812,794",2.8%,"$27,944,167",97.2%,2018
Default,"$27,694,043","$203,775",0.7%,"$27,490,268",99.3%,2018
One Cut of the Dead,"$27,590,180","$52,406",0.2%,"$27,537,774",99.8%,2018
The Happytime Murders,"$27,506,452","$20,706,452",75.3%,"$6,800,000",24.7%,2018
Midnight Sun,"$27,365,467","$9,561,064",34.9%,"$17,804,403",65.1%,2018
VIP Policeman,"$27,222,681",-,-,"$27,222,681",100%,2018
My Neighbor Totoro 2018 Re-release,"$27,083,857","$1,144,649",4.2%,"$25,939,208",95.8%,2018
The Faces of My Gene,"$26,796,279",-,-,"$26,796,279",100%,2018
Badhaai Ho,"$26,125,610",-,-,"$26,125,610",100%,2018
Hichki,"$26,055,222","$330,279",1.3%,"$25,724,943",98.7%,2018
White Boy Rick,"$25,957,482","$24,011,188",92.5%,"$1,946,294",7.5%,2018
"Paul, Apostle of Christ","$25,915,966","$17,560,475",67.8%,"$8,355,491",32.2%,2018
Champions,"$25,699,800",-,-,"$25,699,800",100%,2018
Keys To The Heart,"$25,375,866","$75,134",0.3%,"$25,300,732",99.7%,2018
Stan & Ollie,"$24,420,923","$5,470,235",22.4%,"$18,950,688",77.6%,2018
The Witch: Part 1 - The Subversion,"$24,340,302",-,-,"$24,340,302",100%,2018
The Accidental Detective 2: In Action,"$24,243,825","$179,045",0.7%,"$24,064,780",99.3%,2018
Killing for the Prosecution,"$23,929,620",-,-,"$23,929,620",100%,2018
Pokémon the Movie: The Power of Us,"$23,740,788","$789,170",3.3%,"$22,951,618",96.7%,2018
The Guernsey Literary and Potato Peel Pie Society,"$23,148,937",-,-,"$23,148,937",100%,2018
The Crimes That Bind,"$23,144,130",-,-,"$23,144,130",100%,2018
New Happy Dad and Son 3: Adventure in Russia,"$23,130,469",-,-,"$23,130,469",100%,2018
Padmaavat,"$22,991,060","$11,846,060",51.5%,"$11,145,000",48.5%,2018
Won't You Be My Neighbor?,"$22,844,741","$22,835,787",100%,"$8,954",<0.1%,2018
Europe Raiders,"$22,435,156",-,-,"$22,435,156",100%,2018
Mojin: The Worm Valley,"$22,381,583","$101,516",0.5%,"$22,280,067",99.5%,2018
Stree,"$22,075,730",-,-,"$22,075,730",100%,2018
